Frequency	Imp. Mag	Imp. Angle
+4.10392807064361E+001	+1.68348297953085E+001	+2.75166210972245E+001
+4.17030596430240E+001	+1.68982353179432E+001	+2.82181445764245E+001
+4.23775746955738E+001	+1.69604744609652E+001	+2.88881545114541E+001
+4.30629995125393E+001	+1.70442252334719E+001	+2.95999816112216E+001
+4.37595105510048E+001	+1.71171850381478E+001	+3.03685606359312E+001
+4.44672871221131E+001	+1.72059493242001E+001	+3.11226728401993E+001
+4.51865114372273E+001	+1.72991988740462E+001	+3.19034963688106E+001
+4.59173686548397E+001	+1.74012712264460E+001	+3.27186586813626E+001
+4.66600469282395E+001	+1.75046504843126E+001	+3.36065028835851E+001
+4.74147374539511E+001	+1.76192635011481E+001	+3.45103914373612E+001
+4.81816345209566E+001	+1.77516361302412E+001	+3.54362744976224E+001
+4.89609355607132E+001	+1.78852060909036E+001	+3.63877383475003E+001
+4.97528411979809E+001	+1.80348283250973E+001	+3.74641360755099E+001
+5.05575553024716E+001	+1.81905752104558E+001	+3.84681912213043E+001
+5.13752850413336E+001	+1.83744928743303E+001	+3.96435391816678E+001
+5.22062409324852E+001	+1.85739198897559E+001	+4.07843996393675E+001
+5.30506368988108E+001	+1.87875581178648E+001	+4.19251796947179E+001
+5.39086903232335E+001	+1.90355799202539E+001	+4.32069525869468E+001
+5.47806221046790E+001	+1.92977032079096E+001	+4.44716857197858E+001
+5.56666567149436E+001	+1.95915984891084E+001	+4.57711760001025E+001
+5.65670222564833E+001	+1.99062763255556E+001	+4.71021410203954E+001
+5.74819505211364E+001	+2.02422291273302E+001	+4.84043764294873E+001
+5.84116770497969E+001	+2.06222007656064E+001	+4.97955534330120E+001
+5.93564411930522E+001	+2.10369950126380E+001	+5.13395522480888E+001
+6.03164861728023E+001	+2.15483595515211E+001	+5.26723066933100E+001
+6.12920591448749E+001	+2.21332258734440E+001	+5.37707272884308E+001
+6.22834112626543E+001	+2.27802675093935E+001	+5.45800367706125E+001
+6.32907977417382E+001	+2.34532737901490E+001	+5.53366703654270E+001
+6.43144779256412E+001	+2.42269506329114E+001	+5.61180023837746E+001
+6.53547153525606E+001	+2.51527749677603E+001	+5.67449153699324E+001
+6.64117778232225E+001	+2.62441718287618E+001	+5.67191710564419E+001
+6.74859374698241E+001	+2.75153818184197E+001	+5.59722841866618E+001
+6.85774708260930E+001	+2.89940816796004E+001	+5.37647668255483E+001
+6.96866588984778E+001	+3.07168993283589E+001	+4.95179873193071E+001
+7.08137872384914E+001	+3.26539535882855E+001	+4.20880620640352E+001
+7.19591460162235E+001	+3.57370947210131E+001	+2.38190491637448E+001
+7.31230300950429E+001	+3.67504275079608E+001	+7.91654999340953E+000
+7.43057391075077E+001	+3.68752286330368E+001	-1.81924152442044E+001
+7.55075775325029E+001	+3.52168436162943E+001	-4.33418179117747E+001
+7.67288547736265E+001	+3.25156076969263E+001	-5.89864623998317E+001
+7.79698852388427E+001	+2.94858329014436E+001	-6.46738595791458E+001
+7.92309884214237E+001	+2.74200032221520E+001	-6.17134786955000E+001
+8.05124889822006E+001	+2.63765119746215E+001	-6.09536948515498E+001
+8.18147168331452E+001	+2.49663303327732E+001	-6.13126367965180E+001
+8.31380072223022E+001	+2.39051025164316E+001	-5.88499477592176E+001
+8.44827008200972E+001	+2.30385898716254E+001	-5.73004147668653E+001
+8.58491438070388E+001	+2.22422767867525E+001	-5.54396819823126E+001
+8.72376879628403E+001	+2.15681348849087E+001	-5.36111995710706E+001
+8.86486907569824E+001	+2.09410209117653E+001	-5.15090330252192E+001
+9.00825154407409E+001	+2.04127254057019E+001	-4.96677618206113E+001
+9.15395311407027E+001	+1.99094650183759E+001	-4.76071939651879E+001
+9.30201129537948E+001	+1.95012911651055E+001	-4.53579175701492E+001
+9.45246420438496E+001	+1.91400259374582E+001	-4.32579893715483E+001
+9.60535057397325E+001	+1.88403008555283E+001	-4.11532980728661E+001
+9.76070976350569E+001	+1.86148483620089E+001	-3.92076560504019E+001
+9.91858176895112E+001	+1.84327236867947E+001	-3.75892175061821E+001
+1.00790072331826E+002	+1.82112632490101E+001	-3.70037839566067E+001
+1.02420274564404E+002	+1.79832502426178E+001	-3.55499659644962E+001
+1.04076844069647E+002	+1.77938437400612E+001	-3.40193583411454E+001
+1.05760207317998E+002	+1.76243429758841E+001	-3.26854208701043E+001
