Frequency	Imp. Mag	Imp. Angle
+4.10392807064361E+001	+1.91799290472557E+001	+2.93803412386989E+001
+4.17030596430240E+001	+1.92329309096377E+001	+2.98945183475312E+001
+4.23775746955738E+001	+1.92895240468592E+001	+3.03930680910011E+001
+4.30629995125393E+001	+1.93486478755782E+001	+3.09107699360931E+001
+4.37595105510048E+001	+1.94089994828652E+001	+3.14543145184325E+001
+4.44672871221131E+001	+1.94724127525783E+001	+3.19770280682072E+001
+4.51865114372273E+001	+1.95403551459685E+001	+3.25458306707397E+001
+4.59173686548397E+001	+1.96112694516639E+001	+3.31155172187844E+001
+4.66600469282395E+001	+1.96822659919359E+001	+3.36812898294005E+001
+4.74147374539511E+001	+1.97595233838269E+001	+3.42756664467134E+001
+4.81816345209566E+001	+1.98382070431848E+001	+3.48684496024198E+001
+4.89609355607132E+001	+1.99219230656096E+001	+3.54897299111030E+001
+4.97528411979809E+001	+2.00088531472458E+001	+3.61052321289459E+001
+5.05575553024716E+001	+2.00998972742415E+001	+3.67539233880368E+001
+5.13752850413336E+001	+2.01942087370191E+001	+3.73836351657228E+001
+5.22062409324852E+001	+2.02957871178696E+001	+3.80535373652323E+001
+5.30506368988108E+001	+2.04018108723240E+001	+3.87328896071896E+001
+5.39086903232335E+001	+2.05120558295563E+001	+3.94255268678591E+001
+5.47806221046790E+001	+2.06292172041048E+001	+4.01248459454658E+001
+5.56666567149436E+001	+2.07529919553741E+001	+4.08243633352586E+001
+5.65670222564833E+001	+2.08827077065824E+001	+4.15442089397813E+001
+5.74819505211364E+001	+2.10158457024105E+001	+4.22785434333570E+001
+5.84116770497969E+001	+2.11586040042443E+001	+4.30183585239817E+001
+5.93564411930522E+001	+2.13102366861111E+001	+4.37949991622051E+001
+6.03164861728023E+001	+2.14689266430585E+001	+4.45728900267651E+001
+6.12920591448749E+001	+2.16356449718832E+001	+4.53657164512135E+001
+6.22834112626543E+001	+2.18101175418216E+001	+4.61724642783310E+001
+6.32907977417382E+001	+2.19951771519384E+001	+4.70133667920452E+001
+6.43144779256412E+001	+2.21992061802405E+001	+4.78649664535911E+001
+6.53547153525606E+001	+2.24144852671233E+001	+4.87245069605263E+001
+6.64117778232225E+001	+2.26426987887956E+001	+4.95660383543262E+001
+6.74859374698241E+001	+2.28882428832580E+001	+5.04419906072511E+001
+6.85774708260930E+001	+2.31466973806837E+001	+5.13110133214578E+001
+6.96866588984778E+001	+2.34188566439390E+001	+5.21626662390798E+001
+7.08137872384914E+001	+2.37148138846826E+001	+5.30229743749890E+001
+7.19591460162235E+001	+2.40284935212190E+001	+5.38662924428183E+001
+7.31230300950429E+001	+2.43678119616836E+001	+5.47380327987523E+001
+7.43057391075077E+001	+2.47263621668546E+001	+5.56343215399932E+001
+7.55075775325029E+001	+2.51219963752205E+001	+5.65410056550824E+001
+7.67288547736265E+001	+2.55576138601729E+001	+5.73875925490749E+001
+7.79698852388427E+001	+2.60358283825597E+001	+5.81939233894770E+001
+7.92309884214237E+001	+2.65575307445714E+001	+5.88061225303086E+001
+8.05124889822006E+001	+2.71198883623102E+001	+5.93779780013786E+001
+8.18147168331452E+001	+2.77406861103402E+001	+5.97598090537338E+001
+8.31380072223022E+001	+2.84136907896412E+001	+5.99439469209668E+001
+8.44827008200972E+001	+2.91485383149410E+001	+5.98924020949271E+001
+8.58491438070388E+001	+2.99473009184947E+001	+5.95725035953776E+001
+8.72376879628403E+001	+3.08412518396555E+001	+5.89612261685016E+001
+8.86486907569824E+001	+3.18481820492531E+001	+5.78729978499763E+001
+9.00825154407409E+001	+3.29907722472183E+001	+5.60554693448446E+001
+9.15395311407027E+001	+3.46013225212554E+001	+5.35170336615407E+001
+9.30201129537948E+001	+3.57477748464391E+001	+4.86275952044446E+001
+9.45246420438496E+001	+3.73814153811722E+001	+4.13786892498929E+001
+9.60535057397325E+001	+3.90607423642338E+001	+3.04604620089250E+001
+9.76070976350569E+001	+4.04881822257341E+001	+1.43200545737190E+001
+9.91858176895112E+001	+4.10502086275891E+001	-6.61884248865309E+000
+1.00790072331826E+002	+3.97874640801677E+001	-3.17462888173702E+001
+1.02420274564404E+002	+3.79623726389403E+001	-4.45017413432842E+001
+1.04076844069647E+002	+3.61413560590333E+001	-5.21794269600113E+001
+1.05760207317998E+002	+3.45700834340817E+001	-5.63054748424657E+001
+1.07470797677732E+002	+3.31752145442544E+001	-5.89268107684629E+001
+1.09209055526525E+002	+3.19827752173151E+001	-6.02648628797395E+001
+1.10975428364824E+002	+3.09236021332206E+001	-6.10415330351629E+001
+1.12770370931053E+002	+2.99671829179000E+001	-6.13420358474956E+001
+1.14594345318681E+002	+2.91040788385976E+001	-6.13247729654849E+001
+1.16447821095188E+002	+2.83051091306681E+001	-6.10460139391244E+001
+1.18331275422944E+002	+2.75873586663162E+001	-6.05690678510737E+001
+1.20245193182059E+002	+2.69123878013734E+001	-5.98652149154719E+001
+1.22190067095204E+002	+2.62954971504011E+001	-5.90432966691491E+001
+1.24166397854464E+002	+2.57176584621260E+001	-5.79933055274695E+001
+1.26174694250236E+002	+2.52038326627308E+001	-5.69049301140419E+001
+1.28215473302209E+002	+2.47177304784689E+001	-5.58124896934206E+001
+1.30289260392471E+002	+2.42763457374614E+001	-5.46841800130375E+001
+1.32396589400763E+002	+2.38688124282179E+001	-5.35300313460208E+001
+1.34538002841924E+002	+2.34696884588572E+001	-5.23835719325108E+001
+1.36714052005550E+002	+2.31046610546289E+001	-5.10880301987365E+001
+1.38925297097929E+002	+2.27756077186476E+001	-4.98353572866612E+001
+1.41172307386254E+002	+2.24548505593318E+001	-4.86368763030396E+001
+1.43455661345180E+002	+2.21567485059226E+001	-4.73607031491954E+001
