Frequency	Imp. Mag	Imp. Angle
+4.10392807064361E+001	+1.83104568379978E+001	+1.58057860336022E+001
+4.17030596430240E+001	+1.83307486927776E+001	+1.60679642107823E+001
+4.23775746955738E+001	+1.83441262066521E+001	+1.63789926035985E+001
+4.30629995125393E+001	+1.83553185736985E+001	+1.67147786918414E+001
+4.37595105510048E+001	+1.83725083750879E+001	+1.69926253357273E+001
+4.44672871221131E+001	+1.83914472443312E+001	+1.73195001422888E+001
+4.51865114372273E+001	+1.84097063182893E+001	+1.76794381400475E+001
+4.59173686548397E+001	+1.84295125054888E+001	+1.79679346611219E+001
+4.66600469282395E+001	+1.84465965505675E+001	+1.83156073853017E+001
+4.74147374539511E+001	+1.84625670913623E+001	+1.86512788304533E+001
+4.81816345209566E+001	+1.84929583895741E+001	+1.89423232646800E+001
+4.89609355607132E+001	+1.85096936668153E+001	+1.93773218104719E+001
+4.97528411979809E+001	+1.85349193478535E+001	+1.96831110121581E+001
+5.05575553024716E+001	+1.85659615223373E+001	+2.00648891825177E+001
+5.13752850413336E+001	+1.85926649456775E+001	+2.04151016908443E+001
+5.22062409324852E+001	+1.86262962671352E+001	+2.08924384195039E+001
+5.30506368988108E+001	+1.86426158790534E+001	+2.12377642760248E+001
+5.39086903232335E+001	+1.86793487076657E+001	+2.16124682367248E+001
+5.47806221046790E+001	+1.87076108202396E+001	+2.20503530298864E+001
+5.56666567149436E+001	+1.87462259016173E+001	+2.24176794296661E+001
+5.65670222564833E+001	+1.87678310781114E+001	+2.28020923193278E+001
+5.74819505211364E+001	+1.87956264235636E+001	+2.32826074023540E+001
+5.84116770497969E+001	+1.88316208412254E+001	+2.38063665894050E+001
+5.93564411930522E+001	+1.88794852288413E+001	+2.42589276611683E+001
+6.03164861728023E+001	+1.89216635727849E+001	+2.46922642666941E+001
+6.12920591448749E+001	+1.89589539174159E+001	+2.51428005882372E+001
+6.22834112626543E+001	+1.90027330481261E+001	+2.55598444545644E+001
+6.32907977417382E+001	+1.90444968885655E+001	+2.61290097499855E+001
+6.43144779256412E+001	+1.91025588098269E+001	+2.66953398405100E+001
+6.53547153525606E+001	+1.91405874583950E+001	+2.72051445739783E+001
