Frequency	Imp. Mag	Imp. Angle
+4.10392807064361E+001	+1.59966817921134E+001	+1.31041829693036E+001
+4.17030596430240E+001	+1.60033081275066E+001	+1.34643131412661E+001
+4.23775746955738E+001	+1.60085248814823E+001	+1.36328833368335E+001
+4.30629995125393E+001	+1.60534634297307E+001	+1.39574695298679E+001
+4.37595105510048E+001	+1.60516251324975E+001	+1.42513680358453E+001
+4.44672871221131E+001	+1.60689831517722E+001	+1.44680399607728E+001
+4.51865114372273E+001	+1.60901021895218E+001	+1.48520843496066E+001
+4.59173686548397E+001	+1.61113040823657E+001	+1.51333260934189E+001
+4.66600469282395E+001	+1.61251139658528E+001	+1.54837519827659E+001
+4.74147374539511E+001	+1.61414238821342E+001	+1.56636013933289E+001
+4.81816345209566E+001	+1.61719606832965E+001	+1.60106439325918E+001
+4.89609355607132E+001	+1.61916164555832E+001	+1.64570229391887E+001
+4.97528411979809E+001	+1.62100933528949E+001	+1.66925386232699E+001
+5.05575553024716E+001	+1.62442897600877E+001	+1.69694559099596E+001
+5.13752850413336E+001	+1.62515123055694E+001	+1.74518920504990E+001
+5.22062409324852E+001	+1.62928973360418E+001	+1.77164563682288E+001
+5.30506368988108E+001	+1.63060565731489E+001	+1.80404235574496E+001
+5.39086903232335E+001	+1.63262929926967E+001	+1.84296913950995E+001
+5.47806221046790E+001	+1.63578636121956E+001	+1.90042193128157E+001
+5.56666567149436E+001	+1.63843177447782E+001	+1.94442914846405E+001
+5.65670222564833E+001	+1.64377060148582E+001	+1.99652739840104E+001
+5.74819505211364E+001	+1.64560533875931E+001	+2.03355537209587E+001
+5.84116770497969E+001	+1.65162766152285E+001	+2.08652619375733E+001
+5.93564411930522E+001	+1.65689814967629E+001	+2.12753106859483E+001
+6.03164861728023E+001	+1.66068948519658E+001	+2.15863805363823E+001
+6.12920591448749E+001	+1.66498580360998E+001	+2.21504614144880E+001
+6.22834112626543E+001	+1.67027503079137E+001	+2.24548578342448E+001
+6.32907977417382E+001	+1.67208495501962E+001	+2.31261132981610E+001
+6.43144779256412E+001	+1.67614890570815E+001	+2.36752562283510E+001
+6.53547153525606E+001	+1.68142812351511E+001	+2.44219058700248E+001
+6.64117778232225E+001	+1.68630594039846E+001	+2.50847144347812E+001
+6.74859374698241E+001	+1.69482572613896E+001	+2.58542600229240E+001
+6.85774708260930E+001	+1.70165185878325E+001	+2.66839427869960E+001
+6.96866588984778E+001	+1.71239335405761E+001	+2.73728049053498E+001
+7.08137872384914E+001	+1.72055779794788E+001	+2.81837315175394E+001
+7.19591460162235E+001	+1.73132684664285E+001	+2.88594153744332E+001
+7.31230300950429E+001	+1.74159516584951E+001	+2.95328637392000E+001
+7.43057391075077E+001	+1.75093076027806E+001	+3.02740403175177E+001
+7.55075775325029E+001	+1.75818670017629E+001	+3.12319991937373E+001
